dataset,subset,transform,orientation,channel,total_samples,group,kstest_stat_cutoff_0.05,kstest_stat_best,pass,failure_category,failure_type,beat_all_priors,which_ones,github_plot
agriVision,full,wavelet,diagonal,green,7372800,9,0.00016,0.00495,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/green/plots/compare_cdf_pdf_layer_9.jpg
agriVision,full,wavelet,diagonal,green,29491200,10,0.00008,0.00740,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/green/plots/compare_cdf_pdf_layer_10.jpg
agriVision,full,wavelet,diagonal,red,450,2,0.02021,0.01793,TRUE,actually_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/red/plots/compare_cdf_pdf_layer_2.jpg
agriVision,full,wavelet,diagonal,red,1800,3,0.01011,0.01077,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/red/plots/compare_cdf_pdf_layer_3.jpg
agriVision,full,wavelet,diagonal,red,7200,4,0.00506,0.00513,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/red/plots/compare_cdf_pdf_layer_4.jpg
agriVision,full,wavelet,diagonal,red,28800,5,0.00253,0.00322,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/red/plots/compare_cdf_pdf_layer_5.jpg
agriVision,full,wavelet,diagonal,red,115200,6,0.00127,0.00230,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/red/plots/compare_cdf_pdf_layer_6.jpg
agriVision,full,wavelet,diagonal,red,460800,7,0.00063,0.00189,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/red/plots/compare_cdf_pdf_layer_7.jpg
agriVision,full,wavelet,diagonal,red,1843200,8,0.00032,0.00179,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/red/plots/compare_cdf_pdf_layer_8.jpg
agriVision,full,wavelet,diagonal,red,7372800,9,0.00016,0.00363,FALSE,practically_pass,pass,1,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/red/plots/compare_cdf_pdf_layer_9.jpg
